Straat,Soort,Kamers,Oppervlak,Makelaar,Huurprijs,Link
Achtergracht  ,Onbekend,5,95m,IRR HousingNet,"2.250,00",
Schubertstraat  ,Onbekend,4,130m,IRR HousingNet,"2.250,00",
Utrechtsedwarsstraat  ,Onbekend,3,90m,IRR HousingNet,"1.800,00",
Purperhoedenveem 80 ,Penthouse,3,150m,Vest,"1.730,00",
IJburglaan 602 ,Maisonnette,,215m,Vest,"1.551,00",
IJburglaan 602 ,Maisonnette,,215m,Vest,"1.551,00",
Ecuplein  ,Onbekend,2,100m,IRR HousingNet,"1.400,00",
Overhoeksparklaan 260 ,Appartement/Flat,3,98m,Vest,"1.393,00",
Overhoeksparklaan 260 ,Appartement/Flat,3,98m,Vest,"1.393,00",
Overhoeksparklaan 260 ,Appartement/Flat,3,98m,Vest,"1.393,00",
Veemkade 508 ,Appartement/Flat,,140m,Vest,"1.295,00",
Veemkade 508 ,Appartement/Flat,,140m,Vest,"1.295,00",
Veemkade 488 ,Appartement/Flat,,142m,Vest,"1.225,00",
Haarlemmerweg  ,Onbekend,3,75m,IRR HousingNet,"1.200,00",
Haarlemmerweg  ,Onbekend,3,75m,IRR HousingNet,"1.200,00",
Zuidelijke Wandelweg 6 ,Onbekend,,108m,Vest,"1.060,00",
Rondeel 27 ,Appartement/Flat,3,76m,C,"1.039,28",
Bert Haanstrakade 24 ,Appartement/Flat,3,100m,Vest,"1.035,00",
Galjootstraat 115 ,Eengezinswoning,4,71m,Rochdal,"1.008,17",
Rondeel 121 ,Appartement/Flat,3,79m,C,"1.004,46",
Rondeel 21 ,Aanleunwoning,3,79m,C,"1.004,46",
Rondeel 93 ,Aanleunwoning,3,79m,C,"1.004,46",
Kalverstraat  ,Onbekend,2,95m,IRR HousingNet,"2.500,00",
Kalverstraat  ,Onbekend,2,95m,IRR HousingNet,"2.500,00",
Schubertstraat  ,Onbekend,4,130m,IRR HousingNet,"2.250,00",
Utrechtsedwarsstraat  ,Onbekend,3,90m,IRR HousingNet,"1.800,00",
Utrechtsedwarsstraat  ,Onbekend,3,90m,IRR HousingNet,"1.800,00",
Utrechtsedwarsstraat  ,Onbekend,3,90m,IRR HousingNet,"1.800,00",
Purperhoedenveem 80 ,Penthouse,3,150m,Vest,"1.730,00",
Purperhoedenveem 80 ,Penthouse,3,150m,Vest,"1.730,00",
IJburglaan 602 ,Maisonnette,,215m,Vest,"1.551,00",
Durgerdammerdijk  ,Appartement/Flat,4,60m,IRR HousingNet,"1.500,00",
Durgerdammerdijk  ,Appartement/Flat,4,60m,IRR HousingNet,"1.500,00",
Ecuplein  ,Onbekend,2,100m,IRR HousingNet,"1.400,00",
Overhoeksparklaan 260 ,Appartement/Flat,3,98m,Vest,"1.393,00",
Veemkade 508 ,Appartement/Flat,,140m,Vest,"1.295,00",
Veemkade 488 ,Appartement/Flat,,142m,Vest,"1.225,00",
Haarlemmerweg  ,Onbekend,3,75m,IRR HousingNet,"1.200,00",
Zuidelijke Wandelweg 6 ,Onbekend,,108m,Vest,"1.060,00",
Rondeel 27 ,Appartement/Flat,3,76m,C,"1.039,28",
Bert Haanstrakade 24 ,Appartement/Flat,3,100m,Vest,"1.035,00",
Claude Debussylaan 201 ,Onbekend,,90m,Vest,"1.030,00",
Galjootstraat 115 ,Eengezinswoning,4,71m,Rochdal,"1.008,17",
Rondeel 121 ,Appartement/Flat,3,79m,C,"1.004,46",
Rondeel 21 ,Aanleunwoning,3,79m,C,"1.004,46",
Rondeel 93 ,Aanleunwoning,3,79m,C,"1.004,46",
Rondeel 29 ,Appartement/Flat,3,79m,C,"1.001,96",
Glitterstraat 19 ,Eengezinswoning,4,69m,Rochdal,"1.000,00",
Kikkensteinhof 6 ,Eengezinswoning,4,86m,Rochdal,"994,32",
Kikkensteinhof 6 ,Eengezinswoning,4,86m,Rochdal,"994,32",
Kikkensteinhof 6 ,Eengezinswoning,4,86m,Rochdal,"994,32",
Kikkensteinhof 6 ,Eengezinswoning,4,86m,Rochdal,"994,32",
Kousenbandstraat 25 ,Eengezinswoning,4,80m,Rochdal,"983,49",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Rondeel 115 ,Aanleunwoning,3,76m,C,"977,59",
Bijlmerdreef 851 ,Maisonnette,5,72m,Rochdal,"965,65",
Bijlmerdreef 851 ,Maisonnette,5,72m,Rochdal,"965,65",
Bijlmerdreef 851 ,Maisonnette,5,72m,Rochdal,"965,65",
Lontarpalmstraat 47 ,Eengezinswoning,3,80m,Rochdal,"963,64",
Laan van Vlaanderen 121 ,Bovenwoning,3,65m,Rochdal,"959,99",
J.M. den Uylstraat 4 ,Eengezinswoning,3,,Rochdal,"958,13",
J.M. den Uylstraat 4 ,Eengezinswoning,3,,Rochdal,"958,13",
C v Tussenbroekstr 5 ,Eengezinswoning,4,70m,Rochdal,"934,84",
M. Gandhilaan 29 ,Eengezinswoning,,117m,Vest,"906,00",
M. Gandhilaan 29 ,Eengezinswoning,,117m,Vest,"906,00",
Romerostraat 19 ,Eengezinswoning,,115m,Vest,"906,00",
Romerostraat 19 ,Eengezinswoning,,115m,Vest,"906,00",
Romerostraat 19 ,Eengezinswoning,,115m,Vest,"906,00",
Pieter Calandlaan 1361 ,Appartement/Flat,,110m,Vest,"895,00",
Bijlmerdreef 1088 ,Onbekend,3,132m,Vest,"886,00",
Bijlmerdreef 1088 ,Onbekend,3,132m,Vest,"886,00",
Bijlmerdreef 1088 ,Onbekend,3,132m,Vest,"886,00",
Bijlmerdreef 1088 ,Onbekend,3,132m,Vest,"886,00",
Bijlmerdreef 1088 ,Onbekend,3,132m,Vest,"886,00",
Bijlmerdreef 1088 ,Onbekend,3,132m,Vest,"886,00",
Willem Kromhoutstraat 19 ,Eengezinswoning,4,60m,Rochdal,"883,13",
Johan Huizingalaan 489 ,Onbekend,,89m,Vest,"875,00",
Pieter Calandlaan 1337 ,Appartement/Flat,,110m,Vest,"875,00",
Sandinostraat 2 ,Eengezinswoning,,108m,Vest,"875,00",
Sandinostraat 3 ,Eengezinswoning,,108m,Vest,"875,00",
Mijndenhof 178 ,Eengezinswoning,,82m,Vest,"871,00",
Wethouder Driessenstraat 22 ,Eengezinswoning,,118m,Vest,"871,00",
"Dr. H. Colijnstraat 200, 218 en 230",Appartement,3,m,Stadgenoot," 800,-",
"Dr. H. Colijnstraat 200, 218 en 230",Appartement,3,m,Stadgenoot," 800,-",
Pomonastraat 70,Eengezinswoning,3,76 m,Stadgenoot," 775,-",
"Dr. H. Colijnstraat 200, 218 en 230",Appartement,3,m,Stadgenoot," 800,-",
"Dr. H. Colijnstraat 200, 218 en 230",Appartement,3,m,Stadgenoot," 800,-",
Pomonastraat 70,Eengezinswoning,3,76 m,Stadgenoot," 775,-",
